Parameter,Value
Input Neurons,784
Hidden Neurons,[30]
Output Neurons,10
Epochs,30
Mini Batch Size,10
Learning Rate,0.01
Accuracy,6338 / 10000

Epoch,Cost,Accuracy
1,5.722254180608638,1363
2,5.7942762834485775,1494
3,5.672527625150216,1586
4,5.60938996758273,1713
5,5.463171275051089,2034
6,5.254963218044983,2238
7,5.1392167340824795,2444
8,4.961318626424076,2714
9,4.81592783504777,2902
10,4.585590128565856,3267
11,4.347478059356356,3575
12,4.257758277135816,3802
13,4.203878476944183,3922
14,4.091226998683495,4078
15,3.9702244864673943,4287
16,3.879200808372365,4406
17,3.772484767297879,4558
18,3.68158585211248,4637
19,3.6109878133066227,4727
20,3.4835066040531633,4840
21,3.338962603253725,5105
22,3.242649131576064,5201
23,3.1172955125827535,5356
24,2.9882302216237755,5501
25,2.841386532046215,5721
26,2.7497645662775314,5957
27,2.70748892911314,6085
28,2.6746945292476756,6200
29,2.563119997631963,6253
30,2.5206261519995508,6338

Input Neurons,784
Hidden Neurons,[30]
Output Neurons,10
Epochs,30
Mini Batch Size,10
Learning Rate,0.05
Accuracy,8397 / 10000

Epoch,Cost,Accuracy
1,4.901615789838573,2460
2,4.094116466966068,3743
3,3.4693661568269363,4890
4,3.4656061453429747,5273
5,3.245458549908412,5607
6,2.90642473052971,5972
7,2.8698001659263337,6039
8,2.621099947666218,6259
9,2.4573972654470837,6207
10,2.2067958623011243,6619
11,2.220173684287824,6590
12,2.137608799511805,6884
13,2.0306153805057554,7049
14,1.9621309517394128,7128
15,1.9120319664343088,7180
16,1.8172662787408893,7320
17,1.5971682360679513,7364
18,1.372261563778585,7741
19,1.2343052173625588,8118
20,1.1526702799336876,8236
21,1.146446968793815,8221
22,1.163899795175618,8174
23,1.1051972565980315,8304
24,1.0725126354468724,8351
25,1.0677014717063558,8342
26,1.0241011679448986,8405
27,1.0495263825586043,8349
28,1.1039604919484058,8205
29,1.09148437799355,8242
30,1.0251495345973687,8397

Input Neurons,784
Hidden Neurons,[30]
Output Neurons,10
Epochs,30
Mini Batch Size,10
Learning Rate,0.1
Accuracy,8305 / 10000

Epoch,Cost,Accuracy
1,4.192915042296768,3120
2,3.3595423075711746,4615
3,2.5498203346212924,5959
4,2.5128672735022017,6153
5,2.4241769708943077,6400
6,2.2845951471394925,6788
7,2.1954287858682293,6996
8,2.2364532420649783,6831
9,2.3993178660233734,6814
10,2.2153630002593188,6908
11,2.0703047979389457,7171
12,2.2233267379393378,7121
13,1.9498134729274825,7429
14,1.91188959806283,7382
15,1.8031028543243433,7530
16,1.6454201024256998,7367
17,1.1899833649079314,8111
18,1.12797249424323,8203
19,1.088946016229957,8213
20,1.1655861549844235,8153
21,1.0470536130322043,8358
22,1.008173908060079,8421
23,1.0777718240004874,8201
24,1.0812257223442276,8352
25,1.1905185632262674,7890
26,1.046896331434596,8325
27,1.1165908234320303,8072
28,1.0844180837527695,8219
29,0.9945473502737329,8437
30,1.0602284915587799,8305

Input Neurons,784
Hidden Neurons,"[30, 30]"
Output Neurons,10
Epochs,30
Mini Batch Size,10
Learning Rate,0.01
Accuracy,7164 / 10000

Epoch,Cost,Accuracy
1,4.588287619355753,1663
2,4.438904369129152,1879
3,4.2510193673668395,2175
4,4.035718040994593,2450
5,3.8298456236953453,2877
6,3.6263583271250734,3344
7,3.5047640031788356,3586
8,3.354299506364998,3882
9,3.2286187199608896,4009
10,3.1289005802649394,4204
11,3.0059616535694267,4413
12,2.9114489922110818,4585
13,2.793174725736502,4745
14,2.7303645771586216,4977
15,2.623613722011281,5104
16,2.5153257427691824,5295
17,2.443062621530117,5370
18,2.36788179741955,5430
19,2.265171644878516,5694
20,2.173644060395705,5907
21,2.082424873972109,6203
22,2.0042603804682204,6362
23,1.930545285118202,6513
24,1.8698327294683454,6558
25,1.813108437019141,6680
26,1.7765746142606718,6788
27,1.7326192935002511,6881
28,1.7122685204645138,6970
29,1.6660215718157654,7100
30,1.63593918229276,7164

Input Neurons,784
Hidden Neurons,"[30, 30]"
Output Neurons,10
Epochs,30
Mini Batch Size,10
Learning Rate,0.05
Accuracy,8421 / 10000

Epoch,Cost,Accuracy
1,3.454745285654549,3168
2,2.890163469479789,4435
3,2.338493662309532,5374
4,2.032318146009985,6086
5,1.8716300736511906,6429
6,1.7451652376843785,6880
7,1.6545838302415312,7041
8,1.5545632965137757,7333
9,1.5090529880328998,7404
10,1.4397172506047664,7548
11,1.3710515165896744,7674
12,1.3605738434148085,7697
13,1.3090039277309733,7765
14,1.2264807316602921,7923
15,1.2130993998015416,7912
16,1.246927260604606,7863
17,1.1667194933296872,8054
18,1.141531104625511,8084
19,1.1115289401548927,8229
20,1.0808393189785563,8288
21,1.1248459168065563,8187
22,1.042464868478202,8373
23,1.0235931571791208,8387
24,1.0027953782009393,8432
25,1.0218648061236872,8358
26,1.0748231504313186,8222
27,0.9769745020632935,8464
28,0.9820518918896693,8372
29,1.007176910561323,8385
30,0.993362678514382,8421

Input Neurons,784
Hidden Neurons,"[30, 30]"
Output Neurons,10
Epochs,30
Mini Batch Size,10
Learning Rate,0.1
Accuracy,8397 / 10000

Epoch,Cost,Accuracy
1,3.043544802350473,3863
2,2.5784243945429877,4875
3,2.0222118876417303,5941
4,1.734116355774251,6653
5,1.6722505876723552,6736
6,1.5345717258028295,7153
7,1.608669836080438,6842
8,1.6526350687798654,6897
9,1.4120171657845795,7384
10,1.3757819327469956,7399
11,1.435783909897688,7485
12,1.3064313670635106,7735
13,1.3872533354323755,7511
14,1.3028014312697478,7705
15,1.4209550378161946,7624
16,1.2777353141773142,7687
17,1.2745947290576563,7664
18,1.3020270114414663,7650
19,1.2372711523738429,7826
20,1.2202824749041947,7851
21,1.1796802492643996,7918
22,1.2058281367778627,7929
23,1.1221028522166654,8169
24,1.082982244580464,8143
25,1.0615720900902943,8232
26,1.1704888640599553,7854
27,1.0744297997085912,8066
28,1.0370101062408421,8275
29,0.9775582485964192,8434
30,0.9897947414958428,8397

Input Neurons,784
Hidden Neurons,"[30, 30, 30]"
Output Neurons,10
Epochs,30
Mini Batch Size,10
Learning Rate,0.01
Accuracy,7317 / 10000

Epoch,Cost,Accuracy
1,3.314916577580804,1438
2,3.177738255485201,2108
3,3.065549175793607,2591
4,2.971886554952789,2928
5,2.877150470773291,3259
6,2.7829855440717255,3584
7,2.689986913373088,3973
8,2.609274947618092,4229
9,2.524942268909106,4534
10,2.435685759129146,4812
11,2.360296120508459,5073
12,2.278141712323952,5314
13,2.202779631419176,5527
14,2.1373512201507405,5758
15,2.0692990710463643,5919
16,2.0045761781759777,6089
17,1.949868450365572,6233
18,1.9047674038411067,6304
19,1.8575969848669178,6468
20,1.8053192755131935,6571
21,1.7616023918273753,6652
22,1.711895351955125,6831
23,1.6797875542124134,6924
24,1.6444645615726055,6963
25,1.6098765845411533,7075
26,1.5847968790158624,7085
27,1.5515387519402806,7190
28,1.5292750513314886,7209
29,1.4932080368898943,7271
30,1.4702633220163148,7317

Input Neurons,784
Hidden Neurons,"[30, 30, 30]"
Output Neurons,10
Epochs,30
Mini Batch Size,10
Learning Rate,0.05
Accuracy,8490 / 10000

Epoch,Cost,Accuracy
1,2.8041072924792125,3371
2,2.2490775864015156,5378
3,1.966324976087179,6094
4,1.7540217745115247,6737
5,1.588106724793539,7183
6,1.54740326529449,7210
7,1.4564965989321241,7471
8,1.4066565907997532,7486
9,1.3427785377775752,7651
10,1.266501450690588,7904
11,1.2964378183029543,7816
12,1.3461838038457687,7599
13,1.2694683952977779,7738
14,1.2289795393013587,7955
15,1.1737415573565035,7972
16,1.1429767603632544,8050
17,1.1748765304923974,7968
18,1.1265758304887692,8086
19,1.0630229282238364,8218
20,1.0642484942641375,8235
21,1.0448364599783813,8167
22,1.0691873025092735,8173
23,0.9824656726843319,8370
24,0.987626131878232,8380
25,0.9822377912368151,8384
26,0.9897857588916743,8357
27,0.966771031030068,8474
28,0.9654246584157489,8425
29,0.9101273941944719,8535
30,0.9320751920392282,8490

Input Neurons,784
Hidden Neurons,"[30, 30, 30]"
Output Neurons,10
Epochs,30
Mini Batch Size,10
Learning Rate,0.1
Accuracy,7845 / 10000

Epoch,Cost,Accuracy
1,2.9545582631949423,3356
2,2.1930302943157134,5743
3,1.981690381499625,6053
4,1.6971445740459592,6888
5,1.618605905995124,6916
6,1.449345077230137,7280
7,1.5632077449235884,7030
8,1.5642474404263988,7033
9,1.4349643265085128,7331
10,1.337627458434136,7449
11,1.3642340903923762,7478
12,1.4403891439690806,7294
13,1.354605266003673,7477
14,1.3477668990697242,7482
15,1.276350394280589,7718
16,1.2655453421796623,7736
17,1.2546822053473403,7707
18,1.2628229323154845,7726
19,1.3668729767382537,7456
20,1.245108257990947,7757
21,1.2506928578753698,7803
22,1.2613949621139509,7802
23,1.2898454148511311,7692
24,1.1752587864834951,7861
25,1.2327653269877141,7764
26,1.2099026140520006,7752
27,1.1250282477203295,8013
28,1.163201428336569,7886
29,1.2147377235463277,7792
30,1.2071116761676006,7845

Input Neurons,784
Hidden Neurons,[100]
Output Neurons,10
Epochs,30
Mini Batch Size,10
Learning Rate,0.01
Accuracy,6391 / 10000

Epoch,Cost,Accuracy
1,9.009694051861377,1854
2,9.043007297382045,2355
3,8.585585326610152,2847
4,8.285781002462572,3102
5,8.069916042326826,3336
6,7.830517480125839,3540
7,7.7469573546197035,3732
8,7.649960907560779,3931
9,7.474952498860011,4154
10,7.312250515093385,4322
11,7.195750484297777,4501
12,7.068401658865072,4623
13,7.0338556309596125,4785
14,6.9762328631673345,4880
15,6.839329732318587,4981
16,6.617918639035267,5118
17,6.538312550696047,5206
18,6.500288547170194,5298
19,6.448495067336699,5349
20,6.3262025557219355,5436
21,6.199458854021154,5510
22,6.075773002920781,5660
23,5.827648251174791,5765
24,5.6356057021688,5969
25,5.448569084106309,6126
26,5.381608695586503,6205
27,5.289247736073718,6264
28,5.26748753675384,6334
29,5.220844419829175,6357
30,5.171213660328759,6391

Input Neurons,784
Hidden Neurons,[100]
Output Neurons,10
Epochs,30
Mini Batch Size,10
Learning Rate,0.05
Accuracy,7111 / 10000

Epoch,Cost,Accuracy
1,9.612536655884298,2310
2,8.57472653450873,3111
3,8.310892107735471,3647
4,6.778940322767989,4459
5,6.266803773566557,5120
6,5.792916300761332,5422
7,5.19620424386973,5666
8,4.8489408520463115,5980
9,4.7194576540503155,6243
10,4.661721340475454,6458
11,4.621566128384471,6599
12,4.524214065905484,6689
13,4.4913213372073635,6747
14,4.409961203352438,6843
15,4.49924858093145,6844
16,4.56941112271098,6847
17,4.665203962685318,6879
18,4.670782068755535,6878
19,4.49218414208345,6928
20,4.423313536946175,7032
21,4.329237065055647,7037
22,4.128366550366874,7034
23,4.050989048133576,7065
24,4.259211700878148,7046
25,4.384496096273877,7145
26,4.365435499402324,7115
27,4.347079452771267,7156
28,4.376380427494106,7157
29,4.377186720335791,7139
30,4.43784423665955,7111

Input Neurons,784
Hidden Neurons,[100]
Output Neurons,10
Epochs,30
Mini Batch Size,10
Learning Rate,0.1
Accuracy,7072 / 10000

Epoch,Cost,Accuracy
1,10.559907276034117,2682
2,9.43643530774393,3183
3,8.322602256729821,3589
4,7.03989163211539,4549
5,6.829821613995418,4821
6,7.366520265541966,4914
7,7.3220031671204735,5008
8,7.004619388172256,4983
9,6.910708110374344,5131
10,6.926550289519291,5231
11,6.870435682787419,5261
12,6.35144776351406,5313
13,6.287530950847266,5279
14,6.693682390134863,5307
15,6.59079236543373,5339
