Group 1 - Column 2,Group 1 - Column 3,Group 2 - Column 2,Group 2 - Column 3,Group 3 - Column 2,Group 3 - Column 3,Group 4 - Column 2,Group 4 - Column 3,Group 5 - Column 2,Group 5 - Column 3,Group 6 - Column 2,Group 6 - Column 3,Group 7 - Column 2,Group 7 - Column 3,Group 8 - Column 2,Group 8 - Column 3,Group 9 - Column 2,Group 9 - Column 3,Group 10 - Column 2,Group 10 - Column 3,Group 11 - Column 2,Group 11 - Column 3,Group 12 - Column 2,Group 12 - Column 3,Group 13 - Column 2,Group 13 - Column 3,Group 14 - Column 2,Group 14 - Column 3,Group 15 - Column 2,Group 15 - Column 3,Group 16 - Column 2,Group 16 - Column 3,Group 17 - Column 2,Group 17 - Column 3,Group 18 - Column 2,Group 18 - Column 3,Group 19 - Column 2,Group 19 - Column 3,Group 20 - Column 2,Group 20 - Column 3,Group 21 - Column 2,Group 21 - Column 3,Group 22 - Column 2,Group 22 - Column 3,Group 23 - Column 2,Group 23 - Column 3,Group 24 - Column 2,Group 24 - Column 3,Group 25 - Column 2,Group 25 - Column 3,Group 26 - Column 2,Group 26 - Column 3,Group 27 - Column 2,Group 27 - Column 3,Group 28 - Column 2,Group 28 - Column 3,Group 29 - Column 2,Group 29 - Column 3
Value,,0.06475342751794091,4531,0.07882915145470253,3293,0.0663962343002593,5092,0.06442278447647248,4862,0.03702943065304721,7370,0.051585869574150345,6886,0.06116487401641996,5472,0.04963418284346351,5712,0.053420972838322325,4871,0.034615117423357204,7267,0.057042342742433645,4819,0.02430369641662528,9220,0.01567573488646555,8704,0.004961847110274967,9679,0.05788152307389596,5078,0.01958818116762389,9479,0.004982463193612251,9703,0.003626026110490887,9730,0.0824771568986519,2933,0.020097071724261537,8449,0.006781787372511441,9540,0.005743404974295432,9614,0.01811362650230071,9087,0.020477803641082374,8532,0.007378388381602162,9576,0.004747451808810352,9633,0.04826266785447318,6459,0.03092096364536802,8048
784,,784,,784,,784,,784,,784,,784,,784,,784,,784,,784,,784,,784,,784,,784,,784,,784,,784,,784,,784,,784,,784,,784,,784,,784,,784,,784,,784,,,
[5],,[5],,[5],,[5],,[10],,[10],,[10],,[10],,[30],,[30],,[30],,[30],,[100],,[100],,[100],,[100],,[200],,[200],,[200],,[200],,"[30, 30]",,"[30, 30]",,"[30, 30]",,"[30, 30]",,"[30, 30, 30]",,"[30, 30, 30]",,"[30, 30, 30]",,"[30, 30, 30]",,,
10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,,
30,,30,,30,,30,,30,,30,,30,,30,,30,,30,,30,,30,,30,,30,,30,,30,,30,,30,,30,,30,,30,,30,,30,,30,,30,,30,,30,,30,,,
10,,10,,100,,100,,10,,10,,100,,100,,10,,10,,100,,100,,10,,10,,100,,100,,10,,10,,100,,100,,10,,10,,100,,100,,10,,10,,100,,100,,,
0.0005,,0.001,,0.0005,,0.001,,0.0005,,0.001,,0.0005,,0.001,,0.0005,,0.001,,0.0005,,0.001,,0.0005,,0.001,,0.0005,,0.001,,0.0005,,0.001,,0.0005,,0.001,,0.0005,,0.001,,0.0005,,0.001,,0.0005,,0.001,,0.0005,,0.001,,,
4531 / 10000,,3293 / 10000,,5092 / 10000,,4862 / 10000,,7370 / 10000,,6886 / 10000,,5472 / 10000,,5712 / 10000,,4871 / 10000,,7267 / 10000,,4819 / 10000,,9220 / 10000,,8704 / 10000,,9679 / 10000,,5078 / 10000,,9479 / 10000,,9703 / 10000,,9730 / 10000,,2933 / 10000,,8449 / 10000,,9540 / 10000,,9614 / 10000,,9087 / 10000,,8532 / 10000,,9576 / 10000,,9633 / 10000,,6459 / 10000,,8048 / 10000,,,
Cost,Accuracy,Cost,Accuracy,Cost,Accuracy,Cost,Accuracy,Cost,Accuracy,Cost,Accuracy,Cost,Accuracy,Cost,Accuracy,Cost,Accuracy,Cost,Accuracy,Cost,Accuracy,Cost,Accuracy,Cost,Accuracy,Cost,Accuracy,Cost,Accuracy,Cost,Accuracy,Cost,Accuracy,Cost,Accuracy,Cost,Accuracy,Cost,Accuracy,Cost,Accuracy,Cost,Accuracy,Cost,Accuracy,Cost,Accuracy,Cost,Accuracy,Cost,Accuracy,Cost,Accuracy,Cost,Accuracy,,
0.07333150173199865,3692,0.09276536070281333,1871,0.0993466579494045,2334,0.08835648202503792,2964,0.05160434701502313,7070,0.06161530870800278,4617,0.08444254623032423,3546,0.07320799968114225,4111,0.07274886244532758,3067,0.060940706100498045,4661,0.08193662916928775,2842,0.07087431254499933,4848,0.06051729508600232,5518,0.0515087845356417,5686,0.08689745026320246,2679,0.0731132024247613,4346,0.09625217268987439,1835,0.0422837375299835,7487,0.0986694431344539,1367,0.09841301187876782,1400,0.031532982420003575,8422,0.02005993978283885,9022,0.08030720418161902,5013,0.06396645886274699,6209,0.09425899651011715,2082,0.07145537471152168,4714,0.0957170522431949,1007,0.09718224095262686,1180,,
0.07177808918224442,3864,0.09240869944734002,1883,0.09875020935710867,1970,0.08498382085959037,3307,0.04135758483989431,7415,0.06092301978457648,4646,0.08259486773803365,3530,0.0595660734486137,5304,0.06732256037035843,3755,0.0508750176127474,5634,0.07020669553104879,3832,0.05315999341341366,6687,0.04368887644437401,7398,0.02509772823560747,8378,0.08420432821347892,2884,0.0668600387067396,5020,0.0930130429992976,1861,0.01535257959708697,9352,0.09257110755261998,2177,0.08970753351998909,2535,0.020731298688619476,9045,0.015820926473754562,9258,0.06391708482286232,5882,0.05180469122437113,7346,0.07480402994701273,4661,0.03932923672186667,7378,0.0937330165795128,1586,0.09640758897552767,1306,,
0.07305693066090713,3288,0.09233971168473551,1854,0.09754921711448018,3446,0.07560025850436049,4187,0.03908058364024345,7430,0.058059675016220315,5487,0.07794929036006604,3798,0.05474754012549099,5489,0.05879779765898099,4728,0.049874014440744074,5663,0.0682831512738588,4007,0.042310182548856066,7750,0.026139297766226144,8308,0.02121519402972046,8556,0.08306957483675097,2954,0.06016676272746572,5751,0.07796012833007691,4244,0.01275001758855014,9439,0.08998429422584282,2358,0.08641665112182609,2775,0.016927251209504605,9187,0.013578087638561474,9370,0.05582770826374714,6296,0.04650778748139715,7580,0.05299950092371685,6436,0.022383461762798033,8906,0.09249137045141166,2089,0.09590916186132886,1178,,
0.06529486382266093,4314,0.0920826074095116,1858,0.09350981375945494,4275,0.07463425861903547,4421,0.03749790131555949,7444,0.053531053693630114,5488,0.07693665599927775,3856,0.053277686463121296,5579,0.057040384288976446,4800,0.049388473949432056,5665,0.06509938055562979,4312,0.03930836346723847,8010,0.022612959440186743,8459,0.020103507891384015,8583,0.08240695322166285,2981,0.055817583908649895,6237,0.048531075021468334,7165,0.010480368565899541,9562,0.08830578911877685,2597,0.08357279652965992,3136,0.015013690781873432,9262,0.011417663377297552,9427,0.053240652841966093,6664,0.04110772336073593,7857,0.039835782395717244,7711,0.015389695338530419,9197,0.09167393798531044,1908,0.09434150166606584,1042,,
0.0615187003719147,4611,0.0858180354011305,2716,0.09008662654656452,4119,0.07388698178405619,4483,0.0367518386897306,7447,0.05436068134576724,5537,0.07588251783741594,3920,0.052557363187343664,5594,0.05696940443057835,4783,0.04421553831902558,6492,0.06347151413091831,4448,0.03329462817107792,8698,0.02125937795308901,8536,0.019120078831459747,8622,0.08196695622403545,3008,0.05366564235548616,6353,0.02332369068908272,9023,0.009429579447190053,9601,0.08699168748347509,2642,0.08131958735960369,3393,0.01391670744018803,9328,0.010253160970242209,9486,0.05173894905798918,6986,0.03561339349760683,7958,0.03119053576364098,8024,0.013034676232789486,9277,0.09107262153449508,2017,0.09206593487890534,1256,,
0.06313667374829071,4630,0.08483588569268108,2777,0.08618866114814498,4055,0.07331367066588197,4571,0.03630665444410482,7467,0.05456966824313673,5609,0.07521704583426705,3966,0.05193581020589209,5633,0.056085297537268174,4832,0.041844352801941,6569,0.06264810950766728,4510,0.031213544423132615,8842,0.020651211935941986,8565,0.01863862550339429,8614,0.08166220074170152,3024,0.05164499035180015,6429,0.014163760267001828,9402,0.008666447537129217,9598,0.08631955614435292,2672,0.0741166716834984,3692,0.013087685920820455,9346,0.009730443451110746,9496,0.05018895423092281,7434,0.03295143775764865,8124,0.027647994384624813,8157,0.011277017960971629,9372,0.09053228405275235,2135,0.08973800905785856,1731,,
0.061195326648184216,4631,0.08465096778661203,2759,0.0829156326014453,4495,0.07298317120208342,4624,0.03621517525458029,7457,0.05190218207556289,6515,0.0744281009544343,4030,0.05160216656140222,5638,0.05569675672883197,4835,0.04247661834779308,6567,0.06184154159159241,4546,0.02965047204113219,8957,0.019660040930783607,8599,0.01855853761519919,8650,0.08148453056777952,3031,0.05043972011766532,6484,0.0123347059928963,9495,0.00825987607973998,9637,0.0853425119022305,2754,0.06311020653350831,4976,0.012188641501436821,9390,0.009336957955642405,9512,0.048614305593251514,7528,0.03129696453478659,8149,0.026021792752433295,8220,0.010405081818085464,9425,0.08989982779123908,2183,0.08710657860044363,2031,,
0.06584537129413949,3913,0.08184360634728477,2514,0.0808994003285338,4408,0.0712566627785812,4726,0.03516772584257424,7471,0.04231818212786001,7105,0.07377332349881396,4076,0.0512488267264343,5659,0.05539517059326906,4814,0.04168143187555568,6571,0.061345977287430416,4569,0.028778999832689854,9009,0.01931237345324478,8638,0.01792622796351837,8658,0.08135762971978776,3040,0.04125879338712923,7741,0.011147507535404803,9522,0.007334135807332082,9625,0.08497657040750242,2780,0.058854130730447804,5187,0.011594801699353605,9406,0.009024357451691578,9530,0.0459059274273681,7633,0.029239728678767223,8184,0.024637065300718245,8286,0.00950642420809497,9484,0.0889353564008702,2593,0.08527144421964164,2496,,
0.06690660002754636,3874,0.07799959379324636,2871,0.07889150165885418,4459,0.06798008356296348,4742,0.03546498063782762,7480,0.04273834338635056,7237,0.07323859634764042,4129,0.05097631643918464,5675,0.05517301437761778,4845,0.04212807598060898,6587,0.0607742236201319,4615,0.028288737565517225,9030,0.01883093466547743,8623,0.010477324443577875,9491,0.08122458939997353,3044,0.036206399373069534,8199,0.009953918192909481,9562,0.00712582554995037,9644,0.08468203560786296,2781,0.05623102394878905,5278,0.01094709183815014,9439,0.008415785668686062,9564,0.04196103111305374,8063,0.028166035684535237,8208,0.023689728747499313,8351,0.008935260374450697,9495,0.08725227619783892,2932,0.08327040907413244,2594,,
0.06082158755281726,4540,0.07942973430956661,2814,0.07571376070170885,4524,0.06662120623541944,4781,0.035364989578360435,7487,0.040810966322731394,7239,0.07278533036745945,4175,0.05074879322249482,5690,0.054925681531716584,4848,0.036071815608138644,7327,0.06021864743957914,4643,0.02754144894455207,9079,0.018520093922596632,8649,0.009617753225470975,9581,0.08116728996150445,3047,0.02901297294361771,8958,0.009166257258246777,9585,0.006609208101702319,9675,0.08436641914205878,2794,0.05446905234755396,5414,0.010556246384399092,9439,0.008352410662086385,9551,0.038222647450417147,8368,0.027182823005076927,8265,0.022769568259660585,8396,0.008351467192525297,9526,0.08475077091260402,2983,0.08002879280586128,3101,,
0.06655870534237955,3874,0.07985911890083855,2862,0.07481372243775063,4861,0.06606290783650139,4808,0.03550237654584236,7463,0.04132646416973396,7213,0.07229547743444058,4254,0.05069567032701199,5693,0.05502210813019139,4834,0.034937126825660664,7354,0.059856937544744616,4665,0.02696958143310885,9081,0.018326465997777527,8653,0.00892636233487924,9592,0.08117165379676473,3043,0.026215937221935732,9089,0.008664756145188694,9596,0.006324264246433974,9676,0.08409341791578058,2814,0.04891990855195917,6116,0.010012626351782692,9466,0.007869794820422016,9568,0.03518708862567399,8553,0.026444983739378276,8286,0.01905880555238552,9156,0.008107296455980618,9535,0.08217092060343457,3097,0.07611521097551192,3719,,
0.061242586227617773,4620,0.08473665445815523,3528,0.07341260105873793,4907,0.06571015321179367,4834,0.03570643438348545,7424,0.04480490262907474,7067,0.0700693652540801,4893,0.05063239218827938,5679,0.05480874329659229,4863,0.03446855154945074,7393,0.059567931047641715,4671,0.026671976904813037,9109,0.01797103808683964,8662,0.008251799951858834,9595,0.08106242750884603,3046,0.024609690260380294,9169,0.008254281670866438,9595,0.006073900194394149,9681,0.08399163586392265,2831,0.04040856821095097,7063,0.009688241591897937,9481,0.007726526003220527,9576,0.03240653298705381,8646,0.025921684020396314,8320,0.01621464131943005,9240,0.0077083955872520845,9560,0.07980212416898791,3618,0.07198511643722061,4553,,
0.06659967702727693,3854,0.07266679862695938,3528,0.07234333986432687,4920,0.06547147423730391,4829,0.036945430194443206,7326,0.03965281802900577,7273,0.06914141362800709,5005,0.050498039826860665,5684,0.054609061726658636,4851,0.0340983090940291,7456,0.059209528303446994,4694,0.026335097631659192,9135,0.017989815675371012,8659,0.007996152976266937,9613,0.0809289562188027,3057,0.023831531981376306,9240,0.008103615831704054,9611,0.006151412002637871,9674,0.0837574856620876,2843,0.03668039278118362,7270,0.009529277042471411,9502,0.007515796434044732,9563,0.030068900726411742,8746,0.025198048340654366,8329,0.01349614705640793,9301,0.007132397797747041,9567,0.07842290852860206,4161,0.06799699533110905,5143,,
0.06226214604633922,4632,0.0725736617420956,3605,0.07065775633480835,4925,0.0652297688508032,4854,0.036359101347682665,7405,0.046640748638622415,7270,0.06791990657515441,5039,0.0502938473595382,5703,0.05434389738304419,4865,0.03600420508845053,7376,0.05895977047496728,4700,0.02608452454607214,9127,0.017616666867995942,8665,0.007882744910311027,9622,0.08091991187700051,3053,0.023148167104645817,9252,0.007467068711578097,9629,0.005733867363719999,9690,0.08368177910641578,2828,0.03487126090895834,7329,0.00906412013943063,9509,0.0073635803108017955,9587,0.02886258736338878,8756,0.02468216942356541,8357,0.01251337758387323,9350,0.006954318055098099,9577,0.0767469304749216,3919,0.06476283929780953,5600,,
0.06677517801697042,3857,0.07422154116395334,3378,0.0693702440106008,4956,0.06512869379316641,4846,0.03690478896900975,7376,0.04432711193468423,7143,0.06572434184136042,5104,0.050284767423002814,5703,0.054194635966528924,4881,0.03527235214109503,7370,0.058663882705753005,4724,0.02573863077006246,9161,0.017394449947171126,8674,0.007383227087712421,9630,0.0807784936993095,3066,0.02279159602766036,9304,0.007904373041796331,9616,0.005439582416970443,9703,0.08366363813871436,2829,0.03370604050721811,7353,0.008849039929291388,9520,0.007379782350338369,9570,0.02751448856689382,8832,0.024233110376085998,8377,0.011692524385956627,9388,0.006735675826696082,9581,0.07624848727817152,3673,0.060899681641766054,5869,,
