Parameter,Value
Input Neurons,784
Hidden Neurons,[30]
Output Neurons,10
Epochs,30
Mini Batch Size,10
Learning Rate,0.001
Accuracy,9078 / 10000

Epoch,Cost,Accuracy
1,0.021919662065250586,9012
2,0.018573233257840244,9206
3,0.017482671841918068,9258
4,0.017200484312309146,9278
5,0.017834712172840012,9256
6,0.01656061059891251,9244
7,0.017426808946391,9258
8,0.017105446541653854,9285
9,0.016997419269241972,9273
10,0.018227058245778076,9259
11,0.017180619009043652,9277
12,0.022871365180493573,9280
13,0.02193922247098762,9203
14,0.019388462278592897,9248
15,0.022483385551166656,9130
16,0.020782339705359077,9240
17,0.0199275691443923,8969
18,0.018454734957350446,9223
19,0.017759816823916415,9221
20,0.01877709138796987,9168
21,0.016928151622780555,9222
22,0.018170278832075375,9156
23,0.018555396403880604,9193
24,0.01863129604702007,9152
25,0.018893274080811963,9066
26,0.019058285785716018,9109
27,0.019876734527879202,9161
28,0.02124782954374138,9064
29,0.01935636109302583,9127
30,0.019173620326286795,9078

Input Neurons,784
Hidden Neurons,[30]
Output Neurons,10
Epochs,30
Mini Batch Size,100
Learning Rate,0.001
Accuracy,6601 / 10000

Epoch,Cost,Accuracy
1,0.07840886684574959,2806
2,0.0741798142052427,2999
3,0.07346555603833907,3010
4,0.07305961599171491,3022
5,0.07270375873549148,3035
6,0.0673281554986182,3809
7,0.061305750802466454,4760
8,0.05889599979708111,4876
9,0.05740868209127869,4937
10,0.05566185562652739,5128
11,0.053251323270800295,5443
12,0.05161928641870127,5573
13,0.050784837222175486,5613
14,0.05019063859915654,5636
15,0.04969192372146631,5640
16,0.04963331760339434,5638
17,0.049360062007504424,5647
18,0.049158787358682184,5653
19,0.04902226898568585,5650
20,0.04889665946510998,5662
21,0.048704530058848804,5664
22,0.0486328858154609,5670
23,0.0484946620082848,5672
24,0.04803967195186714,5798
25,0.04233319233429751,6504
26,0.041402662738590605,6538
27,0.04085152659910406,6573
28,0.04055464972803331,6587
29,0.04029638755997753,6589
30,0.040097299050438975,6601

Input Neurons,784
Hidden Neurons,[100]
Output Neurons,10
Epochs,30
Mini Batch Size,10
Learning Rate,0.001
Accuracy,9678 / 10000

Epoch,Cost,Accuracy
1,0.022371947758658056,9041
2,0.014472474919848903,9413
3,0.012744841690045177,9452
4,0.011635020987078746,9511
5,0.010217098137681268,9554
6,0.009857805266930501,9562
7,0.009343358637143794,9581
8,0.008529141447105404,9603
9,0.0083588403607175,9595
10,0.008459446121028466,9624
11,0.007693002208192783,9637
12,0.007638879379547203,9631
13,0.007285477180617439,9660
14,0.0070167567506439965,9643
15,0.007065286926663128,9625
16,0.006801391105671763,9653
17,0.006731373857634486,9648
18,0.006705999564680738,9644
19,0.006694792529613562,9657
20,0.005960755997687468,9655
21,0.0062232956010462625,9675
22,0.005908429559998512,9664
23,0.005699263969217197,9672
24,0.005559002866180308,9682
25,0.005656735304438623,9682
26,0.005694175933802441,9673
27,0.005288455478874149,9667
28,0.005247867952359138,9684
29,0.005458310596509249,9674
30,0.005015678108079922,9678

Input Neurons,784
Hidden Neurons,[100]
Output Neurons,10
Epochs,30
Mini Batch Size,100
Learning Rate,0.001
Accuracy,8538 / 10000

Epoch,Cost,Accuracy
1,0.08695197378777796,2772
2,0.08361467478122189,2941
3,0.07858849885262924,3550
